Scenario,c.V,c.D,c.w,c.Rmax,c.m,s.V,s.D,s.w,s.Rmax,s.m,m.V,m.D,m.w,m.Rmax,m.m,iter
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,25
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,26
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,26
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,26
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,26
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,26
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,26
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,26
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,26
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,26
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,27
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,27
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,27
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,27
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,27
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,27
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,27
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,27
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,27
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,28
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,28
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,28
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,28
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,28
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,28
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,28
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,28
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,28
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,29
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,29
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,29
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,29
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,29
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,29
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,29
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,29
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,29
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,30
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,30
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,30
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,30
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,30
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,30
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,30
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,30
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,30
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,31
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,31
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,31
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,31
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,31
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,31
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,31
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,31
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,31
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,32
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,32
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,32
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,32
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,32
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,32
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,32
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,32
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,32
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,33
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,33
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,33
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,33
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,33
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,33
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,33
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,33
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,33
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,34
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,34
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,34
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,34
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,34
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,34
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,34
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,34
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,34
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,35
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,35
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,35
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,35
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,35
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,35
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,35
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,35
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,35
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,36
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,36
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,36
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,36
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,36
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,36
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,36
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,36
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,36
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,37
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,37
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,37
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,37
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,37
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,37
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,37
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,37
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,37
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,38
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,38
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,38
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,38
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,38
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,38
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,38
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,38
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,38
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,39
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,39
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,39
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,39
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,39
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,39
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,39
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,39
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,39
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,40
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,40
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,40
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,40
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,40
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,40
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,40
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,40
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,40
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,41
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,41
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,41
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,41
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,41
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,41
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,41
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,41
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,41
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,42
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,42
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,42
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,42
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,42
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,42
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,42
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,42
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,42
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,43
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,43
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,43
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,43
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,43
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,43
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,43
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,43
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,43
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,44
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,44
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,44
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,44
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,44
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,44
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,44
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,44
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,44
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,45
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,45
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,45
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,45
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,45
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,45
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,45
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,45
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,45
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,46
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,46
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,46
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,46
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,46
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,46
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,46
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,46
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,46
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,47
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,47
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,47
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,47
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,47
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,47
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,47
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,47
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,47
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,48
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,48
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,48
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,48
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,48
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,48
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,48
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,48
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,48
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,49
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,49
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,49
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,49
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,49
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,49
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,49
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,49
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,49
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,50
2,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,50
3,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,50
4,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,50
5,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,50
6,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,50
7,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,50
8,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,50
9,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,50
